source,target,weight
1,4,5
1,6,1
1,8,5
1,9,1
1,10,5
1,11,4
1,12,1
1,13,7
1,14,1
1,15,4
1,17,2
1,18,4
1,19,1
1,20,1
2,4,1
2,8,1
2,10,1
2,17,1
2,18,1
2,20,3
2,21,1
3,8,3
3,9,1
3,10,5
3,22,1
3,15,1
3,17,1
3,18,2
4,6,1
4,8,4
4,10,3
4,11,4
4,13,3
4,14,1
4,15,2
4,17,2
4,18,2
4,19,1
4,20,2
5,8,2
5,15,1
5,17,1
5,18,1
6,8,1
6,10,3
6,11,1
6,13,1
6,15,1
6,17,1
6,18,1
6,20,1
7,8,1
7,15,1
7,17,1
7,18,1
8,8,1
8,10,2
8,15,1
8,17,1
8,9,1
8,10,11
8,23,1
8,11,4
8,13,2
8,15,7
8,17,6
8,18,10
8,19,1
8,20,3
9,10,1
9,11,1
9,22,1
9,12,1
9,18,2
10,11,5
10,22,1
10,13,3
10,15,3
10,17,2
10,18,6
10,19,5
10,20,1
11,12,1
11,13,4
11,15,3
11,17,1
11,18,3
11,19,1
11,20,1
12,18,1
13,14,1
13,15,3
13,17,2
13,18,3
13,20,1
14,15,1
14,17,1
14,18,1
14,19,1
15,17,7
15,18,7
15,20,4
16,19,2
17,18,7
17,20,2
18,20,5
